Epic,Issue Type,ID,Orden,Summary,Priority,Story Points,Dependencias
E1 - Fundacion del Sistema,Tarea Técnica,TT-E1-01,1-1,Inicializar proyecto con stack Python + Streamlit,Highest,5,Ninguna (primera tarea)
E1 - Fundacion del Sistema,Tarea Técnica,TT-E1-02,1-2,Configurar base de datos y modelo de dominio (ENT-001 a 012),Highest,8,TT-E1-01
E1 - Fundacion del Sistema,Tarea Técnica,TT-E1-04,1-3,Crear estructura modular del proyecto y puntos de extensión HCE,Highest,5,TT-E1-01 + TT-E1-02
E1 - Fundacion del Sistema,Historia de Usuario,HU-E1-01,1-4,Login de usuarios con autenticación y bloqueo por intentos,Highest,3,TT-E1-02
E1 - Fundacion del Sistema,Historia de Usuario,HU-E1-02,1-5,Gestión de roles y permisos RBAC (5 roles),Highest,5,TT-E1-02 + HU-E1-01
E1 - Fundacion del Sistema,Tarea Técnica,TT-E1-03,1-6,Implementar TLS/HTTPS y documentar cifrado en reposo,High,3,TT-E1-01
E1 - Fundacion del Sistema,Historia de Usuario,HU-E1-03,1-7,Recuperación de contraseña por email,Medium,2,TT-E1-02 + HU-E1-01
E1 - Fundacion del Sistema,Historia de Usuario,HU-E1-04,1-8,Cierre automático de sesión por inactividad,Highest,2,HU-E1-01
E2 - Flujo Clinico de Triaje,Historia de Usuario,HU-E2-01,2-1,Registrar nuevo paciente con búsqueda de duplicados y ViaLlegada,Highest,5,E1 completo
E2 - Flujo Clinico de Triaje,Historia de Usuario,HU-E2-02,2-2,Buscar paciente existente por documento nombre o historia clínica,Highest,3,HU-E2-01
E2 - Flujo Clinico de Triaje,Historia de Usuario,HU-E2-04,2-3,Captura de 8 signos vitales con validación de rangos y alertas,Highest,5,HU-E2-01 + TT-E1-02
E2 - Flujo Clinico de Triaje,Historia de Usuario,HU-E2-05,2-4,Evaluación clínica (motivo consulta dolor conciencia antecedentes alergias),Highest,5,HU-E2-04
E2 - Flujo Clinico de Triaje,Historia de Usuario,HU-E2-06,2-5,Flujo de 7 estados del triaje (Registrado a Cerrado),Highest,5,HU-E2-01 + HU-E2-05
E2 - Flujo Clinico de Triaje,Historia de Usuario,HU-E2-03,2-6,Consultar historial de triajes del paciente,Medium,3,HU-E2-02
E2 - Flujo Clinico de Triaje,Historia de Usuario,HU-E2-08,2-7,Cierre del evento de triaje con validación de concordancia,Highest,3,HU-E2-06
E2 - Flujo Clinico de Triaje,Historia de Usuario,HU-E2-07,2-8,Reclasificación del paciente con motivo obligatorio y preservación de historial,Highest,5,HU-E2-08
E3 - Pipeline de Datos y Entrenamiento,Tarea Técnica,TT-E3-01,3-1,Pipeline de ingesta y anonimización de 5 fuentes de datos,Highest,8,E1 completo
E3 - Pipeline de Datos y Entrenamiento,Tarea Técnica,TT-E3-02,3-2,Pipeline de limpieza normalización y feature engineering,Highest,5,TT-E3-01
E3 - Pipeline de Datos y Entrenamiento,Tarea Técnica,TT-E3-03,3-3,Generación de embeddings NLP con BERT clínico en español,Highest,8,TT-E3-02
E3 - Pipeline de Datos y Entrenamiento,Tarea Técnica,TT-E3-04,3-4,Entrenamiento de 3 baselines unimodales (LR RF XGBoost),Highest,5,TT-E3-02
E3 - Pipeline de Datos y Entrenamiento,Tarea Técnica,TT-E3-05,3-5,Entrenamiento de arquitectura Early Fusion,Highest,8,TT-E3-03 + TT-E3-04
E3 - Pipeline de Datos y Entrenamiento,Tarea Técnica,TT-E3-06,3-6,Entrenamiento de arquitectura Late Fusion,Highest,8,TT-E3-03 + TT-E3-04 + TT-E3-05
E3 - Pipeline de Datos y Entrenamiento,Tarea Técnica,TT-E3-07,3-7,Threshold tuning por clase y evaluación final sobre test set,Highest,5,TT-E3-06
E3 - Pipeline de Datos y Entrenamiento,Tarea Técnica,TT-E3-08,3-8,Generación de SHAP y comparativa contra benchmarks de la literatura,Highest,5,TT-E3-07
E3 - Pipeline de Datos y Entrenamiento,Tarea Técnica,TT-E3-09,3-9,Serialización del modelo ganador + transformadores para la demo,Highest,3,TT-E3-07
E4 - Motor IA y Explicabilidad,Tarea Técnica,TT-E4-01,4-1,Servicio de carga del modelo serializado al iniciar la app,Highest,3,TT-E3-09 + E2 completo
E4 - Motor IA y Explicabilidad,Historia de Usuario,HU-E4-01,4-2,Ejecutar inferencia asíncrona y ver probabilidades por nivel (<3s),Highest,8,TT-E4-01 + HU-E2-06
